year,country,skin,bladder,uterus,"colon, rectum and anus",breast,ovary,prostate,"trachea, bronchus and lung"
2010,Argentina,5.3,17.4,5.9,80.7,34.9,7.3,43.6,106.2
2010,Australia,23.0,17.2,2.2,64.1,26.6,8.7,41.1,130.0
2010,Austria,13.0,18.5,3.3,74.1,29.0,8.6,35.3,129.9
2010,Belgium,8.3,25.9,2.7,77.4,36.3,10.6,34.1,187.10000000000002
2010,Brazil,4.4,11.7,7.5,41.6,20.8,5.0,38.7,69.6
2010,Bulgaria,7.5,19.8,8.3,94.19999999999999,24.5,8.7,24.8,126.19999999999999
2010,Canada,9.4,20.200000000000003,2.1,76.0,28.0,9.4,31.3,189.7
2010,Chile,5.4,15.6,8.9,57.0,20.4,6.7,55.3,80.2
2010,Colombia,4.2,8.3,12.0,42.6,18.4,5.5,39.8,66.4
2010,Costa Rica,5.699999999999999,9.6,9.2,50.4,22.0,5.5,51.3,38.699999999999996
2010,Croatia,14.100000000000001,27.3,5.0,135.0,37.0,10.7,48.8,187.10000000000002
2010,Czechia,11.1,25.6,5.9,121.3,28.1,10.8,38.8,167.4
2010,Denmark,13.899999999999999,31.299999999999997,3.8,106.9,39.0,12.4,53.8,201.1
2010,Estonia,13.5,27.8,8.8,95.0,26.3,10.2,62.6,162.0
2010,Finland,10.3,14.8,1.7,60.800000000000004,27.3,10.9,39.7,120.4
2010,France,8.3,23.9,2.1,75.7,30.9,9.2,33.7,142.7
2010,Germany,8.6,18.299999999999997,3.0,80.6,32.0,10.2,33.6,138.8
2010,Greece,4.9,25.299999999999997,2.7,56.400000000000006,29.9,7.1,27.9,157.4
2010,Hungary,10.4,30.5,6.6,154.20000000000002,32.8,10.9,35.3,266.5
2010,Iceland,15.7,22.8,3.0,64.4,17.4,10.3,46.3,175.2
2010,Ireland,12.0,19.299999999999997,4.5,87.6,34.7,15.8,45.0,156.1
2010,Israel,12.2,22.299999999999997,2.4,83.3,33.6,11.0,18.8,112.0
2010,Italy,7.6,24.900000000000002,1.0,77.6,29.6,8.0,25.6,146.79999999999998
2010,Japan,1.1,12.4,3.3,78.5,14.9,5.4,15.9,127.1
2010,Korea,1.6,13.5,4.5,75.5,7.8,4.1,14.6,157.8
2010,Latvia,13.2,34.5,11.2,99.1,30.6,15.4,54.6,158.1
2010,Lithuania,11.600000000000001,28.599999999999998,12.9,94.2,29.3,14.5,56.9,142.2
2010,Luxembourg,8.4,32.1,1.8,89.0,35.7,8.0,27.6,142.8
2010,Mexico,3.1,6.4,12.6,23.9,16.0,5.9,29.8,43.4
2010,Netherlands,14.2,25.4,2.3,97.4,35.2,11.8,43.2,195.8
2010,New Zealand,26.900000000000002,16.0,2.5,101.2,31.2,10.5,39.6,137.8
2010,Norway,22.3,22.5,3.1,102.0,25.5,12.7,56.1,144.4
2010,Peru,2.8,7.0,14.6,32.7,11.5,3.8,38.5,48.3
2010,Poland,10.5,32.0,8.5,100.0,25.5,12.4,34.1,204.7
2010,Portugal,6.3,23.0,3.6,100.7,25.5,5.5,40.3,100.8
2010,Romania,5.4,23.6,15.3,84.3,27.9,8.6,27.2,148.7
2010,Russia,8.4,21.3,7.7,99.9,29.2,9.6,28.4,141.2
2010,Slovak Republic,13.8,24.9,7.4,130.8,29.2,10.1,37.6,150.9
2010,Slovenia,16.8,31.0,3.6,120.19999999999999,33.9,12.2,53.2,169.5
2010,South Africa,6.6,13.5,22.4,44.0,25.3,5.7,72.9,87.1
2010,Spain,6.2,33.1,2.6,94.9,23.3,7.4,30.0,141.3
2010,Sweden,14.1,20.2,2.6,74.5,25.0,11.5,54.5,105.80000000000001
2010,Switzerland,11.7,21.5,1.4,64.7,30.6,9.3,44.7,121.0
2010,Türkiye,2.7,15.2,1.9,45.0,12.6,5.3,26.2,148.39999999999998
2010,United Kingdom,10.7,24.1,2.8,76.2,32.7,12.0,40.9,168.5
2010,United States,10.6,18.1,2.6,59.6,26.9,9.7,27.6,184.9
2011,Argentina,5.5,17.799999999999997,5.6,79.0,33.8,7.2,40.3,106.7
2011,Australia,24.0,17.0,2.1,63.1,27.0,8.5,41.0,127.4
2011,Austria,12.2,18.5,3.1,74.1,28.1,9.4,34.5,126.5
2011,Belgium,9.2,25.0,3.1,76.0,36.3,9.8,33.0,183.3
2011,Brazil,4.3,11.7,7.6,42.0,20.9,5.0,37.9,68.7
2011,Bulgaria,6.1,19.700000000000003,8.1,87.7,28.2,8.6,28.5,126.8
2011,Canada,9.1,19.9,2.2,78.3,27.5,9.6,29.9,184.8
2011,Chile,5.1,13.1,8.9,57.7,20.8,6.2,53.1,79.8
2011,Colombia,3.3000000000000003,7.3,11.0,41.2,17.1,5.8,36.8,63.6
2011,Costa Rica,5.4,10.5,6.7,51.3,19.0,4.5,49.0,37.8
